1,1,2190,620
2,1,2120,610
3,1,2060,610
4,1,2000,600
5,1,1940,600
6,1,1880,590
7,1,1820,590
8,1,1760,580
9,1,1700,580
10,1,1640,570
11,1,1580,570
12,1,1540,560
13,1,1510,550
14,1,1480,540
15,1,1440,540
16,1,1410,530
17,1,1380,520
18,1,1340,520
19,1,1310,510
20,1,1280,500
21,1,1250,500
22,1,1210,490
23,1,1180,490
24,1,1140,490
25,1,1110,490
26,1,1070,490
27,1,1040,490
28,1,1000,490
29,1,970,490
30,1,930,490
31,1,900,490
32,1,830,490
33,1,760,490
34,1,690,490
35,1,630,490
36,1,560,490
37,1,490,490
38,1,430,490
39,1,360,490
40,1,290,490
41,1,230,500
42,1,210,500
43,1,190,500
44,1,170,500
45,1,150,500
46,1,130,500
47,1,110,500
48,1,90,500
49,1,70,500
50,1,50,500
